English,Bangla
tom coughed loudly ,টম জ র ক শল ।
tom has a blue car ,টম র একট ন ল গ ড আছ ।
tom has been found ,টমক প ওয গ ছ ।
tom isn t here now ,টম এখন এখ ন ন ই।
tom isn t here yet ,টম এখন এখ ন এস প ছ য ন ।
tom keeps his word ,টম ওর কথ র খ ।
tom keeps his word ,টম ওন র কথ র খ ন।
tom keeps his word ,টম ত র কথ র খ ন।
tom keeps his word ,টম ত র কথ র খ ।
tom kept screaming ,টম চ ক র করত ই থ কল ।
tom kept screaming ,টম চ চ ত ই থ কল ।
tom likes potatoes ,টম আল পছন দ কর ।
tom needs a friend ,টম র একট বন ধ ল গব ।
tom plays football ,টম ফ টবল খ ল ।
tom saw me do that ,টম আম ক স ট করত দ খ ছ ।
tom saw that movie ,টম স ই ম ভ ট দ খ ছ ।
tom screamed again ,টম আব র চ ক র করব ।
tom shook his head ,টম ত র ম থ ন ড ল ।
tom visited boston ,টম বস টন গ ছ ল ন।
tom was helping me ,টম আম ক স হ য য করছ ল ।
tom was making tea ,টম চ ব ন চ ছ ল ।
tom won t get hurt ,টম আঘ ত প ব ন ।
we do what we want ,আমর য চ ই ত ই কর ।
we watched a movie ,আমর একট স ন ম দ খ ছ ।
we ll work on that ,আমর স ট ন য ক জ করব ।
we re best friends ,আমর স র বন ধ ।
were you a soldier?,আপন ক স ন ক ছ ল ন?
what are my orders?,আম র জন য ক আদ শ আছ ?
what are you doing?,আপন ক করছ ন?
what are you doing?,ত ম ক করছ ?
what are you doing?,ত ই ক করছ স?
what are you doing?,আপন র ক করছ ন?
what are you doing?,ত ম র ক করছ ?
what do tigers eat?,ব ঘ ক খ য ?
what happened here?,এখ ন ক হয ছ ?
what station is it?,এট ক ন স ট শন?
when did you begin?,আপন কখন শ র কর ছ ন?
where can i buy it?,আম এট ক থ থ ক ক নত প রব?
where can i buy it?,আম ওট ক থ থ ক ক নত প রব?
where has tom been?,টম ক থ য গ ছ ল?
where is his house?,ত র ব ড ক থ য ?
where will we meet?,আমর ক থ য দ খ করব?
where would tom go?,টম আর ক থ য য ব ?
where re you going?,ক থ য য চ ছ ন?
where s the museum?,জ দ ঘরট ক থ য ?
which cap is yours?,ক ন ট প ট আপন র?
which cap is yours?,ক ন ট প ট ত ম র?
which hat is yours?,ক ন ট প ট আপন র?
which hat is yours?,ক ন ট প ট ত ম র?
who are those guys?,ওর ক র ?
who are those guys?,ওন র ক র ?
who broke the vase?,ফ লদ ন ট ক ভ ঙল?
who gave it to you?,এট ত ম ক ক দ য ছ ?
who wants to begin?,ক শ র করত চ য ?
who s your teacher?,ত ম র শ ক ষক ক ?
why are you in bed?,ত ম ব ছ ন য ক ন?
why can t you come?,ত ম আসত প রব ন ক ন?
why can t you come?,আপন আসত প রব ন ন ক ন?
why can t you come?,আপন র আসত প রব ন ন ক ন?
why can t you come?,ত মর আসত প রব ন ক ন?
why did this occur?,এট ক ন ঘটল ?
why was tom crying?,টম ক দছ ল ক ন?
you are the doctor ,আপন ই স ই ড ক ত র।
you are the doctor ,আপন স ই চ ক সক।
you are very brave ,আপন খ ব স হস ।
you are very brave ,ত ম খ ব স হস ।
you are very brave ,ত মর খ ব স হস ।
you are very brave ,আপন র খ ব স হস ।
you can study here ,ত ম এখ ন পড শ ন করত প র।
you can study here ,আপন এখ ন পড শ ন করত প র ন।
you look beautiful ,ত ম ক স ন দর ল গছ ।
you look very pale ,আপন ক দ খ খ ব ফ য ক শ ল গছ ।
you look very pale ,ত ম ক দ খ খ ব ফ য ক শ ল গছ ।
you look very pale ,ত ক দ খ খ ব ফ য ক শ ল গছ ।
you re my daughter ,ত ম আম র ম য ।
you re my daughter ,ত ই আম র ম য ।
a whale is a mammal ,ত ম একট স তন যপ য প র ণ ।
aluminum is a metal ,অ য ল ম ন য ম একট ধ ত ।
are seats available?,বস র জ য গ আছ ?
are you coming down?,আপন ক ন চ আসব ন?
are you coming down?,ত ম ক ন চ আসব ?
aren t you a doctor?,আপন ড ক ত র ন ?
aren t you a doctor?,ত ম ড ক ত র ন ?
can i get a blanket?,আম ক একট চ দর প ত প র ?
can he speak french?,ও ক ফর শ ভ ষ বলত প র ?
can he speak french?,উন ক ফর শ ভ ষ বলত প র ন?
can he speak french?,স ক ফর শ ভ ষ বলত প র ?
can he speak french?,ত ন ক ফর শ ভ ষ বলত প র ন?
can you read arabic?,আপন ক আরব পড ত প র ন?
can you swim at all?,ত ম ক আদ স ত র ক টত প র ?
change your clothes ,ত ম র প শ ক পর বর তন কর।
come at two o clock ,দ ইট সময আস ।
come at two o clock ,দ ইট সময আস ন।
come at two o clock ,দ ইট সময আস স।
consult your doctor ,আপন র ড ক ত র র পর মর শ ন ন।
consult your doctor ,আপন র ড ক ত র র স থ পর মর শ কর ন।
could it be a virus?,এট ক ভ ইর স হত প র ?
did you read it all?,আপন ক প র ট পর ছ ন?
did you read it all?,ত ম ক প র ট পর ছ ?
did you read it all?,ত ই ক প র ট পর ছ স?
do the windows open?,জ নল গ ল খ ল ?
do tigers eat birds?,ব ঘ ক প খ খ য ?
do you have a fever?,আপন র ক জ বর হয ছ ?
do you have my book?,আপন র ক ছ ক আম র বইট আছ ?
do you have my book?,ত ম র ক ছ ক আম র বইট আছ ?
don t open the door ,দরজ খ ল ন ।
everybody liked tom ,সব ই টমক পছন দ করত।
everybody loved tom ,সব ই টমক ভ ল ব সত ।
everyone s watching ,সব ই দ খছ ।
everything is ready ,সবক ছ ত র ।
football is a sport ,ফ টবল একট খ ল ।
he had one daughter ,ত র দ ট ম য ছ ল ।
he had one daughter ,ওন র দ ট ম য ছ ল ।
he was very patient ,উন খ ব ধ র যশ ল ছ ল ন।
he was very patient ,ও খ ব ধ র যশ ল ছ ল ।
how did this happen?,এট ক ভ ব ঘটল ?
how do you feel now?,এখন আপন র ক মন ল গছ ?
how do you feel now?,এখন ক মন ল গছ আপন র?
how does that sound?,স ট ক মন শ ন য ?
how much will it be?,এট র কত দ ম হব ?
how much will it be?,এট কতত হব ?
how old is that dog?,ওই ক ক রট র বয স কত?
how old is this zoo?,এই চ ড য খ ন ট র বয স কত?
how s your daughter?,আপন র ম য ক মন আছ ?
i am eating noodles ,আম ন ডলস খ চ ছ ।
i can come at three ,আম ত নট র সময আসত প রব ।
i can do this alone ,আম এট এক করত প র ।
i did no such thing ,আম এমন ক ছ কর ন ।
i didn t hit anyone ,আম ক উক ম র ন ।
i don t like coffee ,আমর কফ ভ ল ল গ ন ।
i hate this village ,আম এই গ র মট ক ঘ ণ কর ।
i have been to rome ,আম র ম গ ছ ল ম।
i haven t forgotten ,আম ভ ল য ইন ।
i know tom is tired ,আম জ ন টম ক ল ন ত।
i know you are rich ,আম জ ন য ত ম ধন ।
i like both of them ,আম ত দ র দ জনক ই পছন দ কর ।
i love celtic music ,আম ক ল ট ক সঙ গ ত ভ ল ব স ।
i make 100 a day ,আম দ ন আয কর ।
i need an ambulance ,আম র একট অ য ম ব ল ন স ল গব ।
i only speak french ,আম খ ল ফর স ভ ষ য কথ বল ।
i read those novels ,আম স ই উপন য সগ ল পড ছ ।
i see you are awake ,আম দ খছ ত ম জ গ আছ ।
i want to go abroad ,আম ব দ শ য ত চ ই।
i want your opinion ,আম আপন র মত মত চ ই।
i want your opinion ,আম ত ম র মত মত চ ই।
i watched the movie ,আম চলচ চ ত রট দ খ ছ ।
i will be back soon ,আম ত র ত র ই ফ র আসব ।
i will be back soon ,আম শ গ গ র ফ র আসব ।
i wish i could swim ,আম যদ স ত র ক টত প রত ম।
i ll be back at six ,আম ছয ট সময ফ র আসব ।
i ll be back at ten ,আম দশট সময ফ র আসব ।
i ll be back by six ,আম ছয ট সময র আগ ফ র আসব ।
i ll find you later ,আম ত ম ক পর খ জ ন ব।
i ll kick your butt!,আম ত র প ছ য ল থ ম রব !
i ll return at 6 30 ,আম এ ফ র আসব ।
i ll take this coat ,আম এই ক টট ন ব।
i ll tell tom later ,আম টমক পর বলব ।
i m counting on you ,আম আপন র উপর ন র ভর কর আছ ।
i m counting on you ,আম ত ম র উপর ন র ভর কর আছ ।
i m eating rice now ,আম এখন ভ ত খ চ ছ ।
i m going to school ,আম স ক ল য চ ছ ।
i m going to scream ,আম চ ক র করত য চ ছ ।
i m going to scream ,আম চ চ ত য চ ছ ।
i m in the hospital ,আম হ সপ ত ল আছ ।
i m not tom s slave ,আম টম র দ স নই।
i m not a bit tired ,আম একট ও ক ল ন ত নই।
i m not proud of it ,আম এত গর ব ত নই।
i m not your friend ,আম আপন র বন ধ নই।
i m not your friend ,আম আপন দ র বন ধ নই।
i m not your friend ,আম ত ম র বন ধ নই।
i m not your friend ,আম ত ম দ র বন ধ নই।
i m not your friend ,আম ত র বন ধ নই।
i m not your friend ,আম ত দ র বন ধ নই।
i m proud of my son ,আম আম র ছ ল র উপর গর ব ত।
i m really confused ,আম সত য ই দ শ হ র হয পর ছ ।
i m resting my legs ,আম আম র প ট জ র চ ছ ।
i m resting my legs ,আম আম র প ট ক ব শ র ম দ চ ছ ।
i m writing a novel ,আম একট উপন য স ল খছ ।
i ve lost my wallet ,আম আম র ম ন ব য গ হ র য ছ ।
is it far from here?,ওট ক এখ ন থ ক অন ক দ র ?
is it still raining?,এখন ব ষ ট পরছ ?
is my laundry ready?,আম র লন ড র র ক পরগ ল ক ত র আছ ?
is this real silver?,এট ক আসল র প ?
is this seat vacant?,এই স টট ক ফ ক আছ ?
it isn t reasonable ,এট য ক ত ক ন ।
it looks appetizing ,এট দ খ ম খর চক বল মন হচ ছ ।
it s very hot today ,আজ খ ব গরম।
just take your time ,আপন সময ন ন।
let s give it a try ,আমর একব র চ ষ ট কর ই দ খ !
let s watch a movie ,চল একট স ন ম দ খ ।
my back still hurts ,আম র প ঠ এখন ব য থ করছ ।
my mother is active ,আম র ম চটপট ।
my nose is bleeding ,আম র ন ক দ য রক ত ব র হচ ছ ।
no one but tom left ,টম ছ ড আর ক উ চল য য ন ।
no i m not in love ,ন আম প র ম পড ন ।
nobody but tom left ,টম ছ ড আর ক উ চল য য ন ।
oil floats on water ,ত ল জল ভ স ।
please show me that ,আম ক একট ওইট দ খ ব ন।
please speak slowly ,অন গ রহ কর ধ র কথ বল ন।
please speak slowly ,অন গ রহ কর আস ত কথ বল ন।
put on your sweater ,ত ম র স য ট র পর ন ও।
respect your elders ,ত ম র থ ক বড দ র শ রদ ধ কর ।
she agreed with him ,ত ন ত র স থ একমত।
she became a doctor ,স ড ক ত র হয ছ ।
she hasn t come yet ,স এখন আস ন ।
she hasn t come yet ,ও এখন আস ন ।
she hasn t come yet ,উন এখন আস নন ।
she hasn t come yet ,ত ন এখন আস নন ।
she s a good person ,উন ভ ল ম ন ষ।
she s a good person ,ও ভ ল ম ন ষ।
she s a good person ,ত ন ভ ল ম ন ষ।
thank you very much ,ত ম ক অন ক ধন যব দ।
that proves nothing ,এত ক ছ ই প রম ণ ত হয ন ।
that s not possible ,এট অসম ভব!
the bus door opened ,ব স র দরজ খ ল গ ল।
the police are here ,প ল শ এখ ন চল এস ছ ।
there s room inside ,ভ তর একট ঘর আছ ।
they were all happy ,ত র সব ই স খ ছ ল ।
they were all happy ,ওর সব ই স খ ছ ল ।
they were all happy ,ওন র সব ই স খ ছ ল ন।
they were all happy ,ত র সব ই খ শ ছ ল ।
they were all happy ,ওর সব ই খ শ ছ ল ।
they were all happy ,ওন র সব ই খ শ ছ ল ন।
this drives me nuts ,এট আম ক প গল কর দ চ ছ ।
this is my daughter ,এট আম র ম য ।
this is what i want ,আম এইট ই চ ই।
tom became a doctor ,টম ড ক ত র হয ছ ।
tom began screaming ,টম চ চ ন শ র করল ।
tom began screaming ,টম চ ক র শ র করল ।
tom began screaming ,টম চ ক র আরম ভ করল ।
tom began screaming ,টম চ চ ন আরম ভ করল ।
tom came right away ,টম সঙ গ সঙ গ ই চল এল ।
tom can read french ,টম ফর স পড ত প র ।
tom didn t struggle ,টম কষ ট কর ন ।
tom has been crying ,টম ক দছ ল ।
tom is 100 correct ,টম ঠ ক।
tom is 100 correct ,টম শতভ গ সঠ ক।
tom is in the house ,টম ব ড র ভ তর আছ ।
tom is like a virus ,টম ভ ইর স র মত ।
tom is still in bed ,টম এখন ব ছ ন য ।
tom isn t buying it ,টম এট ক নছ ন ।
tom must be stopped ,টমক থ ম ত ই হব ।
tom nodded his head ,টম ত র ম থ ন ড ল ।
tom rides a scooter ,টম স ক ট র চড ।
tom rushed upstairs ,টম দ ড উপর গ ল ।
tom screamed loudly ,টম জ র চ ক র করল ।
tom screamed loudly ,টম জ র চ চ ল ।
tom started yelling ,টম চ চ ন শ র করল ।
tom started yelling ,টম চ ক র শ র করল ।
tom started yelling ,টম চ ক র আরম ভ করল ।
tom started yelling ,টম চ চ ন আরম ভ করল ।
tom studied biology ,টম জ বব জ ঞ ন পড ছ ল।
tom studies biology ,টম জ বব জ ঞ ন পড ।
tom threatened mary ,টম ম র ক ভয দ খ ল ।
tom threatened mary ,টম ম র ক শ স ল ।
tom threatened mary ,টম ম র ক হ মক দ ল ।
tom took care of us ,টম আম দ র দ খ শ ন কর ছ ।
tom was lying to us ,টম আম দ র ম থ য বলছ ল।
we love our country ,আমর আম দ র দ শক ভ ল ব স ।
we must act at once ,আম দ র এখ ন ক জ ল গ পড ত হব ।
we obeyed the rules ,আমর ন য ম ম ন ছ ।
we saw the airplane ,আমর প ল নট ক দ খল ম।
we traveled on foot ,আমর প য হ ট ঘ র ছ ল ম।
we weren t fighting ,আমর য দ ধ করছ ল ম ন ।
we ll see you again ,ত ম র স থ আম দ র আব র দ খ হব ।
we re still working ,আমর এখনও ক জ করছ ।
well see you later ,আচ ছ আব র পর দ খ হব ।
were you born there?,আপন ক ওখ ন জন ম ছ ল ন?
were you born there?,ত ম ক ওখ ন জন ম ছ ল ?
what did you forget?,ত ম ক ভ ল গ ল ?
what did you forget?,আপন ক ভ ল গ ল ন?
what does that mean?,ওট র ম ন ক ?
what does that mean?,ওট র অর থ ক ?
what does this mean?,এট র ম ন ক ?
what does this mean?,এট র অর থ ক ?
what floor is it on?,স ট ক ন তল য ?
what have you found?,আপন ক প য ছ ন?
what have you found?,ত ম ক প য ছ ?
what street is this?,এট ক ন র স ত ?
what time is it now?,এখন কয ট ব জ ?
what s the time now?,এখন কয ট ব জ ?
what s today s date?,আজক র ত র খ কত?
where does tom live?,টম ক থ য থ ক ?
where is my luggage?,আম র ম লপত র ক থ য ?
where is the museum?,জ দ ঘরট ক থ য ?
where is your house?,আপন র ঘর ক থ য ?
where s the mistake?,ভ লট ক থ য ?
which car is theirs?,ত দ র গ ড ক নট ?
who is your teacher?,ত ম র শ ক ষক ক ?
who is your teacher?,ত ম দ র শ ক ষক ক ?
who wants to see me?,ক আম ক দ খত চ য ?
why are you yelling?,আপন চ ক র করছ ন ক ন?
why are you yelling?,ত ম চ ক র করছ ক ন?
why are you yelling?,ত ম চ চ চ ছ ক ন?
why are you yelling?,আপন র চ ক র করছ ন ক ন?
why are you yelling?,ত মর চ চ চ ছ ক ন?
why are you yelling?,ত মর চ ক র করছ ক ন?
you look very tired ,আপন ক দ খ খ ব ক ল ন ত ল গছ ।
you look very tired ,ত ম ক দ খ খ ব ক ল ন ত ল গছ ।
you look very tired ,আপন দ র দ খ খ ব ক ল ন ত ল গছ ।
you look very tired ,ত ম দ র দ খ খ ব ক ল ন ত ল গছ ।
you may go home now ,ত ম এব র ব ড য ত প র ।
you may go home now ,আপন এব র ব ড য ত প র ন।
you should exercise ,আপন র ব য য ম কর উচ ত।
you re contributing ,আপন অবদ ন র খছ ন।
your shoes are here ,আপন র জ ত গ ল এখ ন রয ছ ।
your shoes are here ,ত ম র জ ত গ ল এখ ন রয ছ ।
any child knows that ,ব চ চ র ও স ট জ ন ।
are your hands clean?,আপন র হ ত ক পর ষ ক র?
are your hands clean?,ত ম র হ ত ক পর ষ ক র?
berlin is in germany ,ব র ল ন জ র ম ন ত অবস থ ত।
boston is a big city ,বস টন একট বড শহর।
can i turn on the tv?,আম ক ট ভ চ ল ত প র ?
can you speak french?,ত ম ক ফর স ভ ষ বলত প র ?
can you speak french?,আপন ক ফর স ভ ষ বলত প র ন?
can you speak french?,ত মর ক ফর স ভ ষ বলত প র ?
can you speak french?,আপন র ক ফর স ভ ষ বলত প র ন?
can you speak french?,আপন ফর স বলত প র ন?
can you speak french?,ত ম ফর স বলত প র ?
could you help a bit?,আপন ক একট স হ য য করত প র ন?
did anybody get shot?,ক র ক গ ল গ ল ছ ?
did anybody help you?,ক উ ক ত ম য স হ য য কর ছ ল?
did you speak at all?,আপন ক আদ কথ বল ছ ন?
do black holes exist?,ক ষ ণগহ বর র অস ত ত ব আছ ক ?
do you like to study?,আপন ক পড শ ন করত পছন দ কর ন?
do you speak english?,আপন ই র জ বলত প র ন?
do you speak english?,ত ম ই র জ বলত প র?
do you speak english?,আপন র ই র জ বলত প র ন?
do you speak english?,ত ম র ই র জ বলত প র?
do you study english?,আপন ই র জ পড ন?
do you understand me?,আপন ক আম র কথ ব ঝত প রছ ন?
do you understand me?,ত ম ক আম র কথ ব ঝত প রছ?
do you understand me?,আপন র ক আম র কথ ব ঝত প রছ ন?
do you understand me?,ত মর ক আম র কথ ব ঝত প রছ?
do you want to sleep?,ত ম ক ঘ ম ত চ ও?
does tom play tennis?,টম ক ট ন স খ ল ?
don t leave me alone ,আম ক একল ছ ড য ও ন ।
don t leave me alone ,আম ক একল ফ ল র খ য ও ন ।
don t leave me alone ,আম ক একল ছ ড য ব ন ন ।
don t leave me alone ,আম ক একল ফ ল র খ য ব ন ন ।
don t worry about me ,আম র ব যপ র চ ন ত করব ন ন ।
don t worry about me ,আম র ব যপ র চ ন ত ক র ন ।
don t worry about me ,আম র ন য চ ন ত করব ন ন ।
don t worry about me ,আম র ন য চ ন ত ক র ন ।
everyone ignored tom ,সব ই টমক অগ র হ য করল ।
everyone ran outside ,সব ই ব ইর দ ড গ ল ন।
everyone uses google ,সব ই গ গল ব যবহ র কর ।
have you finished it?,ত ম র ওট কর হয গ ছ ?
have you finished it?,ত ম দ র ওট কর হয গ ছ ?
have you finished it?,আপন র ওট কর হয গ ছ ?
have you finished it?,আপন দ র ওট কর হয গ ছ ?
he has two daughters ,ত র দ ট ম য আছ ।
he has two daughters ,ওন র দ ট ম য আছ ।
he s in the hospital ,উন হ সপ ত ল আছ ন।
he s younger than me ,ও আম র থ ক ছ ট।
he s younger than me ,স আম র থ ক ছ ট।
he s younger than me ,এ আম র থ ক ছ ট।
how are tom and mary?,টম এব ম র ক মন আছ ?
how is your daughter?,আপন র ম য ক মন আছ ?
how much did you eat?,আপন কতট খ য ছ ন?
how much did you eat?,ত ম কতট খ য ছ ?
how old is this tree?,এই গ ছট বয স কত?
i always feel sleepy ,আম র স র ক ষণ ঘ ম ল গ ।
i am counting on you ,আম আপন র উপর ন র ভর কর আছ ।
i am counting on you ,আম ত ম র উপর ন র ভর কর আছ ।
i bought a newspaper ,আম একট খবর র ক গজ ক নল ম।
i checked everywhere ,আম সব জ য গ য দ খ ছ ।
i did that last year ,আম ওট গত বছর কর ছ ল ম।
i didn t hit anybody ,আম ক উক ম র ন ।
i didn t hit anybody ,আম ক উক ধ ক ক ম র ন ।
i don t know exactly ,আম সঠ কভ ব জ ন ন ।
i don t like to cook ,আম র ন ন করত পছন দ কর ন ।
i don t use facebook ,আম ফ সব ক ব যবহ র কর ন ।
i don t want to cook ,আম র ন ন করত চ ই ন ।
i got a b in physics ,আম পদ র থব জ ঞ ন ব প য ছ ।
i have a new red car ,আম র একট নত ন ল ল গ ড আছ ।
i have caught a cold ,আম র ঠ ন ড ল গ গ ছ ।
i have good eyesight ,আম র দ ষ ট শক ত ভ ল ই।
i have three options ,আম র ক ছ ত নট ব কল প আছ ।
i have two daughters ,আম র দ ট ম য আছ ।
i invited my friends ,আম আম র বন ধ দ র আমন ত রণ জ ন য ছ ।
i just can t take it ,আম আর এট ন ত প রছ ন ।
i left the door open ,আম দরজ ট খ ল র খ ছ ল ম।
i like teaching kids ,আম ব চ চ দ র পড ত পছন দ কর ।
i like to eat apples ,আম আপ ল খ ত পছন দ কর ।
i love your daughter ,আম আপন র ম য ক ভ ল ব স ।
i need to send a fax ,আম র একট ফ য ক স প ঠ ন র দরক র আছ ।
i owe you an apology ,আম ত ম র ক ছ ক ষম চ চ ছ ।
i resemble my mother ,আম আম র ম য র মত দ খত ।
i saw tom last night ,আম ক ল র ত টমক দ খ ছ ল ম।
i sold tom a t shirt ,আম টম র ক ছ একট ট শ র ট ব ক র কর ছ ।
i think you re right ,আম র মন হয আপন ঠ ক।
i think you re right ,আম র মন হয ত ম ঠ ক।
i want an mp3 player!,আম র একট mp3 প ল য র চ ই!
i was a teacher too ,আম ও শ ক ষক ছ ল ম।
i was late to school ,আম র স ক ল য ত দ র হয গ ছ ল।
i was playing tennis ,আম ট ন স খ লছ ল ম।
i went to the bakery ,আম ব ক র ত গ ল ম।
i work at an embassy ,আম একট দ ত ব স ক জ কর ।
i ll be back at 2 30 ,আম স ড দ ইট সময ফ র আসব ।
i ll be back by 2 30 ,আম স ড দ ইট সময র আগ ফ র আসব ।
i m already standing ,আম ইত মধ য দ ড য আছ ।
i m going to be late ,আম র দ র হব ।
i m going to bed now ,আম এখন ঘ ম ত য চ ছ ।
i m not at all tired ,আম একদমই ক ল ন ত নই।
i m not denying that ,আম ওট অস ব ক র করছ ন ।
i m not feeling well ,আম র শর র ভ ল ল গছ ন ।
i m not tired at all ,আম একদমই ক ল ন ত নই।
i m not very patient ,আম খ ব একট ধ র যশ ল নই।
i m not your teacher ,আম ত ম র শ ক ষক নই।
is tom drinking beer?,টম ক ব য র প ন করছ ?
is there an elevator?,ক ন ল ফট আছ ?
it is very hot today ,আজ খ ব গরম।
it ll take some time ,একট সময ল গব ।
it s very hot inside ,ভ তর খ ব গরম।
lincoln died in 1865 ,ল ঙ কন এ ম র গ ছ ল ন।
may i ask a question?,আম ক একট প রশ ন করত প র ?
may i turn on the tv?,আম ক ট ভ চ ল ত প র ?
my father grows rice ,আম র ব ব ধ ন চ ষ কর ।
my father is at home ,আম র ব ব ব ড ত ।
my mother can t come ,আম র ম আসত প রব ন ।
my mother cooks well ,আম র ম ভ ল র ন ন করত প র ।
my motorcycle is new ,আম র ম টরস ইক লট নত ন।
no one has been here ,এখ ন ক উ আস ন ।
nobody will help you ,ক উ আপন ক স হ য য করব ন ।
nothing here is mine ,এখ নক র ক ছ ই আম র নয ।
now listen carefully ,এব র মন দ য শ ন ।
one of them is a spy ,ত দ র মধ য একজন গ প তচর।
one of them is a spy ,ওন দ র মধ য একজন গ প তচর।
please eat something ,অন গ রহ কর ক ছ খ ন।
please eat something ,অন গ রহ কর ক ছ একট খ ন।
please eat something ,দয কর ক ছ খ ন।
rabbits like carrots ,খরগ শ গ জর পছন দ কর ।
school starts monday ,ব দ য লয স মব র শ র হব ।
she can speak french ,উন ফর স ত কথ বলত প র ন।
she can speak french ,ত ন ফর স ত কথ বলত প র ন।
she can speak french ,স ফর স ত কথ বলত প র ।
she can speak french ,ও ফর স ত কথ বলত প র ।
she quit the company ,স ক ম প ন ছ ড দ য ছ ।
that plan won t work ,পর কল পন ট ক জ কর ন ।
the clock is ticking ,সময চল য চ ছ ।
the fan doesn t work ,প খ ট ক জ করছ ন ।
the glass got broken ,গ ল সট ভ ঙ গ য ছ ।
the police were here ,প ল শ এখ ন ছ ল ।
the rules are simple ,ন য মগ ল সহজ।
the rumor isn t true ,গ জবট সত য নয ।
the students laughed ,ছত রছ ত র র হ সল ।
there s no more salt ,আর ন ন ন ই।
there s no more time ,আর সময ন ই।
this handbag is mine ,এই হ ত ব য গট আম র।
this is tom s sister ,এই হচ ছ টম র ব ন।
this is tom s sister ,এই হচ ছ টম র দ দ ।
this is homemade jam ,এট ব ড ত ত র কর জ ল ।
this will cost 30 ,এট র দ ম পড ব ।
tom and i were alone ,আম আর টম একল ছ ল ম।
tom caught the thief ,টম চ রট ক ধর ফ লল ।
tom changed his name ,টম ত র ন ম পল ট ল ।
tom dances very well ,টম ব শ ভ ল ন চ ।
tom did that himself ,টম ওট ন জ ই করল ।
tom didn t let us go ,টম আম দ র য ত দ য ন ।
tom has been injured ,টম আহত হয ছ ।
tom has been wounded ,টম আহত হয ছ ।
tom has been wounded ,টম ঘ য ল হয ছ ।
tom initially agreed ,টম প রথম র জ হয ।
tom is going to sing ,টম গ ন গ ইত চল ছ ।
tom is in heaven now ,টম এখন স বর গ ।
tom is in his office ,টম ওর অফ স রয ছ ।
tom is now in prison ,টম এখন গ রদ ।
tom never comes here ,টম কখন এখ ন আস ন ।
tom resumed speaking ,টম কথ বলত শ র করল 
tom started coughing ,টম ক শত শ র করল ।
tom stopped speaking ,টম কথ বল থ ম ল ।
we all work together ,আমর সব ই একস থ ক জ কর ।
we can still do that ,আমর এখনও স ট করত প র ।
we love our children ,আমর আম দ র সন ত নদ র ভ ল ব স ।
we ll find the truth ,আমর সত যট খ জ ব র করব।
we re both named tom ,আম দ র দ জন র ন মই টম।
what am i doing here?,আম এখ ন ক করছ ?
what is today s date?,আজক র ত র খ কত?
when will you return?,আপন কখন ফ র আসব ন?
where are the photos?,ছব গ ল ক থ য ?
where are the police?,প ল শ ক থ য ?
where were you going?,ক থ য য চ ছ ল ?
where s the bathroom?,ব থর ম ক থ য ?
where s the bathroom?,গ সলখ ন ক থ য ?
where s the hospital?,হ সপ ত লট ক থ য ?
where s the restroom?,ব থর ম ক থ য ?
which floor is it on?,স ট ক ন তল য ?
who wants to eat now?,ক এখন খ ত চ য ?
who would believe me?,ত ম ক ক ব শ ব স করব ?
who would believe me?,আপন ক ক ব শ ব স করব ন?
who wrote the letter?,চ ঠ ট ক ল খ ছ ল?
why are you shouting?,আপন চ ক র করছ ন ক ন?
why are you shouting?,ত ম চ ক র করছ ক ন?
why are you shouting?,ত ম চ চ চ ছ ক ন?
why are you shouting?,আপন র চ ক র করছ ন ক ন?
why are you shouting?,ত মর চ চ চ ছ ক ন?
why are you shouting?,ত মর চ ক র করছ ক ন?
why are you so early?,এত ত ড ত ড ক ন?
why do you need that?,ওট আপন র ক ন দরক র?
why don t we go home?,ত হল ব ড য ওয য ক?
will the police come?,প ল শ ক আসব ?
you don t understand ,আপন ব ঝ ন ন ।
you don t understand ,ত ম ব ঝ ন ।
you don t understand ,ত মর ব ঝ ন ।
you don t understand ,আপন র ব ঝ ন ন ।
you promised to help ,ত ম স হ য য কর র শপথ কর ছ ল ।
you should apologize ,আপন র ক ষম চ ওয উচ ।
you re not my friend ,ত ম আম র বন ধ নও।
you re not my friend ,ত ই আম র বন ধ ন ।
you re very arrogant ,ত ম খ ব অহ ক র ।
you ve been deceived ,আপন ক ব ক ব ন ন হয ছ ।
your answer is right ,ত ম র উত তর সঠ ক।
your answer is right ,আপন র উত তর সঠ ক।
your answer is wrong ,ত ম র উত তর ভ ল।
your answer is wrong ,আপন র উত তর ভ ল।
accidents will happen ,দ র ঘটন ঘটব ই।
all three were killed ,ত নজন ই ন হত হয ছ ন।
any child can do that ,য ক ন শ শ ই ওট করত প র ।
any child can do that ,য ক ন ব চ চ ই ওট করত প র ।
are you a taxi driver?,আপন ক ট য ক স চ লক?
are you drinking milk?,দ ধ খ চ ছ ন?
are you drinking milk?,আপন ক দ ধ খ চ ছ ন?
are you drinking milk?,ত ই ক দ ধ খ চ ছ স?
are you on medication?,আপন ক ক ন ওষ ধ খ চ ছ ন?
believe in yourselves ,ন জ দ র উপর আস থ র খ ।
beware of pickpockets ,পক টম র থ ক স বধ ন।
can you get a day off?,ত ম ক একদ ন র ছ ট ন ত প রব ?
can you get a day off?,আপন ক একদ ন র ছ ট ন ত প রব ন?
can you swim like tom?,আপন ক টম র মত স ত র ক টত প র ন?
